date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-06-30T00:00:00.000,Pinellas,FL,Passenger,1,1,2,107,109,1.8348623853211008
2020-03-31T00:00:00.000,Walla Walla,WA,Passenger,68,63,131,36246,36377,0.3601176567611402
2020-03-31T00:00:00.000,Yakima,WA,Passenger,124,116,240,165859,166099,0.144492140229622
2020-04-30T00:00:00.000,Benton,WA,Passenger,348,321,669,134580,135249,0.4946432136281968
2020-04-30T00:00:00.000,Brevard,FL,Passenger,0,1,1,85,86,1.1627906976744187
2020-04-30T00:00:00.000,Cascade,MT,Passenger,0,1,1,58,59,1.694915254237288
2020-08-31T00:00:00.000,Juneau,AK,Passenger,0,1,1,27,28,3.5714285714285716
2020-08-31T00:00:00.000,Kittitas,WA,Passenger,110,47,157,29766,29923,0.5246800120308792
2020-08-31T00:00:00.000,Klamath,OR,Passenger,1,0,1,29,30,3.333333333333333
2020-08-31T00:00:00.000,Lincoln,WA,Truck,0,0,0,4652,4652,0.0
2020-08-31T00:00:00.000,Maui,HI,Passenger,1,0,1,30,31,3.225806451612903
2020-06-30T00:00:00.000,Skamania,WA,Passenger,31,17,48,8483,8531,0.5626538506622903
2020-06-30T00:00:00.000,Walla Walla,WA,Passenger,73,62,135,35839,35974,0.3752710290765552
2020-06-30T00:00:00.000,Whatcom,WA,Passenger,1065,500,1565,149278,150843,1.037502568896137
2020-06-30T00:00:00.000,Yakima,WA,Passenger,132,119,251,165374,165625,0.1515471698113207
2020-07-31T00:00:00.000,Adams,WA,Passenger,9,7,16,12865,12881,0.1242139585435913
2020-07-31T00:00:00.000,Adams,WA,Truck,0,0,0,5282,5282,0.0
2020-07-31T00:00:00.000,Albemarle,VA,Passenger,1,0,1,20,21,4.761904761904762
2020-07-31T00:00:00.000,Anne Arundel,MD,Passenger,0,1,1,406,407,0.2457002457002457
2020-07-31T00:00:00.000,Arapahoe,CO,Passenger,1,0,1,127,128,0.78125
2020-07-31T00:00:00.000,Asotin,WA,Truck,0,0,0,6653,6653,0.0
2020-06-30T00:00:00.000,Ferry,WA,Passenger,5,3,8,4330,4338,0.1844167819271553
2020-06-30T00:00:00.000,Fresno,CA,Passenger,1,0,1,183,184,0.5434782608695652
2020-06-30T00:00:00.000,Fulton,GA,Passenger,1,2,3,97,100,3.0
2020-06-30T00:00:00.000,Grant,WA,Truck,0,0,0,27089,27089,0.0
2020-06-30T00:00:00.000,Houston,GA,Passenger,1,0,1,54,55,1.818181818181818
2020-06-30T00:00:00.000,Jefferson,NY,Passenger,0,1,1,210,211,0.4739336492890995
2020-06-30T00:00:00.000,Kent,MI,Passenger,0,1,1,23,24,4.166666666666666
2020-06-30T00:00:00.000,King,WA,Passenger,24117,7708,31825,1371259,1403084,2.2682177260948024
2020-04-30T00:00:00.000,Snohomish,WA,Passenger,4401,1753,6154,535230,541384,1.1367162679355134
2020-04-30T00:00:00.000,Spokane,WA,Passenger,711,472,1183,316352,317535,0.3725573558820287
2020-04-30T00:00:00.000,St. Clair,IL,Passenger,1,0,1,143,144,0.6944444444444444
2020-04-30T00:00:00.000,St. Louis,MO,Passenger,1,0,1,98,99,1.01010101010101
2020-04-30T00:00:00.000,Yakima,WA,Truck,0,0,0,59524,59524,0.0
2020-07-31T00:00:00.000,Clackamas,OR,Passenger,2,0,2,189,191,1.0471204188481675
2020-07-31T00:00:00.000,DeKalb,IN,Passenger,1,0,1,1,2,50.0
2020-07-31T00:00:00.000,Erie,NY,Passenger,1,0,1,43,44,2.272727272727273
2020-08-31T00:00:00.000,Montgomery,AL,Passenger,0,1,1,38,39,2.564102564102564
2020-08-31T00:00:00.000,New Haven,CT,Passenger,0,2,2,35,37,5.405405405405404
2020-05-31T00:00:00.000,Moore,NC,Passenger,0,1,1,163,164,0.6097560975609756
2020-05-31T00:00:00.000,Okanogan,WA,Truck,0,0,0,16388,16388,0.0
2020-05-31T00:00:00.000,Pend Oreille,WA,Truck,0,0,0,5744,5744,0.0
2020-05-31T00:00:00.000,Pima,AZ,Passenger,3,1,4,346,350,1.1428571428571428
2020-05-31T00:00:00.000,Placer,CA,Passenger,1,0,1,84,85,1.176470588235294
2020-05-31T00:00:00.000,Ramsey,MN,Passenger,1,0,1,41,42,2.380952380952381
2020-05-31T00:00:00.000,San Diego,CA,Passenger,15,6,21,2773,2794,0.7516105941302791
2020-05-31T00:00:00.000,Benton,WA,Truck,0,0,0,42473,42473,0.0
2020-05-31T00:00:00.000,Broward,FL,Passenger,2,1,3,110,113,2.654867256637168
2020-05-31T00:00:00.000,Cascade,MT,Passenger,0,1,1,58,59,1.694915254237288
2020-05-31T00:00:00.000,Chelan,WA,Truck,0,0,0,22435,22435,0.0
2020-05-31T00:00:00.000,Cowlitz,WA,Passenger,136,115,251,72373,72624,0.3456157743996474
2020-05-31T00:00:00.000,Alameda,CA,Passenger,2,1,3,269,272,1.102941176470588
2020-05-31T00:00:00.000,Brevard,FL,Passenger,0,1,1,83,84,1.1904761904761905
2020-05-31T00:00:00.000,Carroll,NH,Passenger,0,1,1,4,5,20.0
2020-05-31T00:00:00.000,Charles,MD,Passenger,1,1,2,73,75,2.6666666666666665
2020-05-31T00:00:00.000,Clay,FL,Passenger,0,1,1,80,81,1.234567901234568
2020-05-31T00:00:00.000,Denton,TX,Passenger,1,0,1,85,86,1.1627906976744187
2020-05-31T00:00:00.000,Douglas,NE,Passenger,0,1,1,56,57,1.7543859649122808
2020-06-30T00:00:00.000,Queens,NY,Passenger,1,0,1,50,51,1.96078431372549
2020-06-30T00:00:00.000,San Francisco,CA,Passenger,1,1,2,89,91,2.1978021978021975
2020-06-30T00:00:00.000,Skagit,WA,Passenger,407,221,628,91162,91790,0.6841703889312561
2020-06-30T00:00:00.000,Skamania,WA,Truck,0,0,0,4011,4011,0.0
2020-06-30T00:00:00.000,St. Mary's,MD,Passenger,1,0,1,216,217,0.4608294930875576
2020-06-30T00:00:00.000,Twin Falls,ID,Passenger,0,1,1,22,23,4.3478260869565215
2020-06-30T00:00:00.000,Vigo,IN,Passenger,1,0,1,5,6,16.666666666666664
2020-06-30T00:00:00.000,Wahkiakum,WA,Truck,0,0,0,1737,1737,0.0
2020-06-30T00:00:00.000,Walla Walla,WA,Truck,0,0,0,13744,13744,0.0
2020-06-30T00:00:00.000,Larimer,CO,Passenger,1,0,1,51,52,1.9230769230769231
2020-06-30T00:00:00.000,Mason,WA,Truck,0,0,0,20606,20606,0.0
2020-06-30T00:00:00.000,Monroe,IL,Passenger,1,0,1,4,5,20.0
2020-06-30T00:00:00.000,Monterey,CA,Passenger,0,1,1,164,165,0.606060606060606
2020-06-30T00:00:00.000,Moore,NC,Passenger,0,2,2,163,165,1.212121212121212
2020-06-30T00:00:00.000,Nassau,FL,Passenger,1,0,1,34,35,2.8571428571428568
2020-06-30T00:00:00.000,Norfolk,VA,Passenger,2,2,4,351,355,1.1267605633802815
